,Chat_msg,sent,sentiment
823,dear admin i am blockchain developer specializing in solidity and react recently i worked as a smart contracts developer to build the smart contractsdrops auction staking marketplace  for the nft marketplace on the cronos network now i am actively looking for a new opportunity and if you are looking for a dev id like to join your team  ,,1
824,stay safe fam and happy minting  ,1.0,1
825,we will never dm you first  ,,0
826,yeah straight up block,,-1
827,never legit,,0
828,assume this isnt legit,-1.0,-1
829,gm,,0
830,the talisman yes,,0
831,is that wl token,1.0,1
832,heyyy,,0
833,hey,,0
834,check under collectibles in your phantom,,0
835,we already have your wallet,1.0,1
836,can i submit my wallet now,1.0,1
837,mint details anyone,1.0,1
838,if it has this adress   then yes,,0
839,yo,,0
840,the art here is amazing,1.0,1
841,is the token on fff legit,,1
842,yo,,0
843,wassup,,0
844,yes,,0
845,crazy,,0
846,woopwoop,1.0,1
847,been holding for  months,1.0,1
848,isnt it wl token mint,1.0,1
849,gm y all,,0
850,hi guys,,0
851,can i submit my wallet now,1.0,1
852,mod,,0
853,yooo,,0
854,hi,,0
855,gm,,0
856,my boho ive been mia never staked got two bottles didnt use had stuff going on irl,,0
857, ,,0
858,big day,1.0,1
859,can i submit my wallet now,1.0,1
860,hi,,0
861,been here since ,,0
862,yes you did fam,,0
863,just checkin if ive verified properly,,0
864, should be,,0
865,its a sol mint,1.0,1
866,oh alright try to open a ticket and send us your wallet adress ,,1
867,h,,0
868,what time in mint for uk people,1.0,1
869,also wasnt a mint based with whoop ,,-1
870, will you guys have alpha call for holders of new collection,,1
871,gmm,,0
872,dont remember the number and cant check right now as its on my computer and not on the phone wallet,,-1
873,gm,,0
874,ty,,0
875,aight,,0
876,hello good morning,,0
877,in theory yes,,0
878,so it can be sold out in wl,1.0,1
879,i see,,0
880,keep on going,,0
881,how many wl drop,1.0,1
882,how do i verify if imh a holder beenm holding for a long time now just been mia,,-1
883,whats the  of the boho,,0
884,gm ,,0
885,so cheap the token on fff weird,1.0,1
886,gm,,0
887,i havent received the talisman yet i have my guru bohemia staked since day ,,-1
888,whats up fam,,0
889,receive mine,,0
890,excited,1.0,1
891,yo guys i need some help,,0
892,hu,,0
893,what about love letters,,0
894,gm,,0
895, powerful things,,0
896,woop woop,1.0,1
897,i dnt belive in magic but i belive in fabulous and ayahuasca       ,1.0,0
898,there are many members who trying hard,,0
899,i saw that  it says the one won wl yesterday their tokens are been given now m ,1.0,1
900,nope please see ,,0
901, all token for talisman master given out ,1.0,1
902,soooo stoked,1.0,1
903,ei guys r u excited for fabulosa  ,1.0,1
904,only rent if you want to stake for woop then we recommend buying a bohemian,,1
905,i didnt got my talisman,-1.0,-1
906,thanks,,0
907,so that s noon est right,,0
908,can we stake our fabulosa nft in order to yield woop a considerated woop amount is necessary to cast spells with fabulosa participates in raffles,1.0,1
909,token address ,1.0,1
910,hello,,0
911,is it one per tel,,0
912,how many can we mint,1.0,1
913,yoo,,0
914,wagmi,1.0,1
915, ,,0
916,wassup everyone,,0
917,from bohemia,,0
918, will fabulosa dao will be different,1.0,0
919,you don t seem to have a role for it so i m not sure if you do,,-1
920,you should have the talisman in your wallet,,1
921,hi how can i know if i got wl for fabulousa,1.0,1
922,imagine selling your talisman for  and missing out  ,-1.0,1
923,hey,,0
924,for bohemia holders only,,0
925,when public,1.0,0
926, fabulosa minters will have access to bohemia dao ,1.0,1
927, or so,,0
928,whats the floor on fff,1.0,0
929,yo,,0
930,yo,,0
931,gm world,,0
932,buy them from fff,,1
933,hey,,0
934,hi,,0
935,can you provide me whitelist,1.0,1
936,yoo,,0
937,tes,,0
938,im not an og holder will i still get access to dc with the fabulosa collection,,-1
939,i don t like honey,,-1
940, utc,,0
941,you will get it  still sending out tokens,,1
942,whats good people,,0
943,own website ,,0
944,when is the mint,1.0,1
945,same bru,,0
946,still haven t received the talisman i won from elikasol,1.0,-1
947,thx,,0
948,hai,,0
949,not over booked  ,,1
950,overbooked wl or we can mint in our time  ,1.0,1
951,my bad appreciate it fam ,,0
952,how much tokens was send,,1
953,all information is in ,,0
954,when is mint,1.0,1
955,are all tokens out or still getting sent out,1.0,1
956,we have  ,,0
957,gm,,0
958,can team make an announcement about token addy for awareness,1.0,1
959, all tokens sent,,1
960,ty,,0
961,well i did receive mine just an hour ago,1.0,1
962,addy,,0
963,have all tokens sent out,1.0,1
964, fff token addy,,1
965,yes,,0
966,lol,,0
967,gn,,0
968,link pls,1.0,0
969,i am just counting hours so that i don t miss it by sleeping,,0
970,is token listed on fff,1.0,1
971,token on fff,1.0,1
972,our own website,,0
973,hmm,,0
974,saint in the house,,0
975,haha im fr,,0
976,lol real funny,,0
977,token,1.0,0
978,our candy machine,,0
979,token or wallet based,1.0,1
980,suwiiiiiiiiiii,,0
981,sup,,0
982,yo,,0
983,wheres minting gonna take plc,1.0,1
984,can i get wl,1.0,1
985,hi,,0
986,thanks fam,,0
987,good and you,,0
988,nope just sol,1.0,0
989,just sol,1.0,0
990,do we need woop to mint,1.0,1
991, total,,0
992,hi mates how are you doing,,0
993,how many talisman wl are there,1.0,1
994,suppp,,0
995,gm,,0
996,sup,,0
997, ,,0
998,check pinned message,,0
999,just check the pinned messages people,,0
1000,following,,0
1001,hello guys whats the token address please,1.0,1
1002,people don t understand nfts metaverse and crypto today the same way they didn t understand online shopping in the    if you are here  glad to be a part of this community we are early birds of next big project,1.0,-1
1003,i like art sir ,1.0,0
1004,hello,,0
1005,no worries fam,,0
1006,okay ty,,0
1007,nice one mate the token is such an art work   ,,1
1008,okay,,0
1009,not yet   announcement will be made once to sending out ii done,,0
1010,okay ty,,0
1011,yoo,,0
1012,link will be posted upon minting it will be on our own website,,0
1013,not totaly i think,,0
1014,how much you paid,,1
1015,where to mint,,1
1016,alright thanks,,0
1017,nope,,0
1018,tokn airdrop not finished yet right,,-1
1019,yes link will be posted in ,,0
1020,can we stake our fabulous for woop,,1
1021,i am buy  token  ,,1
1022,did i miss it ,,0
1023,how to submit wallet guyss,,1
1024,hi,,0
1025,hey fam,,0
1026,hey,,0
1027,great bro,,0
1028,lets goooo,,1
1029,got my token lfg,,1
1030,woopwoop,,1
1031,httpsmagicedeniomarketplacedecipheredletters,,0
1032,letters are on me,,0
1033,hell,,0
1034,where can i buy love letters,,1
1035,got  minting all of em ,,1
1036,looking forward,,1
1037,i minted the first bohos and if the fabulosa site is anything like it prepare for some awesomeness,,1
1038,absolutely how many u minting sir,,1
1039,sure,,0
1040,own site,,0
1041,where is the mint gonna take place,,1
1042,godamn that art is so dope,,1
1043,yo,,0
1044,damn but that art is    ,,0
1045,hoping in the not too distant future but all eyes currently on fabulosa ,,1
1046,can i ask a question,,0
1047,thanks   ,,0
1048,hello,,0
1049,our own  ,,0
1050,yup talisman is the wl token,,1
1051,guys what platform is the mint,,1
1052,hey guyss,,0
1053,yep and  sol,,0
1054,with talisman you can mint fabulosa broo ,,1
1055,ok sir,,0
1056,it will be far still no info on them yet,,0
1057,ty,,0
1058,the token address of the talisman is ,,1
1059,oh okay ty for the help peeps   ,,0
1060,i believe the team is working on it however make sure to use the correct token address when buying,,0
1061,can someone send me token link,,1
1062,female mint in the near future,,1
1063,but i suspect it will take whoop and love letters mostly,,0
1064,details on female mint have been kept pretty well under wraps for now,,1
1065,will the token be verified on fff or not,,1
1066,i dont think so i think with fabulosa you can mint a female also not  sure tho,,0
1067,oh ok but for the female one i need a to buy a boho too right,,0
1068,gamified raffle every week you can receive instant rewards deppends on your luck,,1
1069,someone bought  tokens at a time   watching him i bought one more    lfg   ,,1
1070,i think its okay to buy token because public is  sol,,1
1071,gamefied raffle for now more tba,,0
1072,what s the utilities of what we minting today,,1
1073,their current utility is linked to fabulosa better odds but its been hinted that they will also be important at a future date to mint the female bohemians,,1
1074,hi,,0
1075,same reaction,,0
1076,rn  sol i think is a spare change for is worth,,0
1077,woop woop id better get some shut eye for this  mint,,1
1078,oh damn i just read it im buying love letters,,0
1079,how much is the token,,1
1080,i love how everyone is a dimondhand here,,1
1081,where is the mint going to take place,,1
1082,working,,0
1083,you can read the manuscript to be clearer in ,,0
1084,lets goo i got mine too,,1
1085,gm,,0
1086,got my talisman lfg,,1
1087,i thought love letters are used on bohemians,,0
1088,yo,,0
1089,thanks,,0
1090,what is the token in fff,,0
1091,will the token be verified on fff or not,,1
1092,i see nice ,,0
1093,aha well thats great then,,0
1094,thanks,,0
1095,i think reveal after own mint,,1
1096,so guys is it reveal after full mint or reveal right after your own mint,,1
1097,love letters can be used to improve the rewards from fabulosa,,1
1098,what is this bro,,0
1099,hi guys,,0
1100,woopwoop,,1
1101,woopwoop,,1
1102, from guru bohos  from fff,,0
1103,the taken itself is already worth an nft   ,,1
1104,httpsfamousfoxescomtokenmarket  search for the token address of the talisman is ,,1
1105,wow how did you get ,,0
1106,hello talisman has no rarity or,,0
1107,me,,0
1108,where is the faboulousa mint,,1
1109,q,,0
1110,is there a link on fff token market to buysell talisman,,1
1111,today  or so from now,,0
1112,wen is mint,,1
1113,super ready,,1
1114,those will be true diamonds soon enough ,,1
1115,the art on these is so fiiiine i almost wanna hang on to one post mint just because haha,,1
1116,gotta get some diamond  ,,1
1117,lfg lets mint and go heavyyy,,1
1118,we need peeps hitting this no way we lose this vote ,,1
1119,thanks   ,,0
1120,im good to go,,0
1121,hahaha   happy minting fam,,1
1122,talisman is a mint token they are all the same,,1
1123,yeah,,0
1124,they told there are tiers for this token,,0
1125,its wl token,,1
1126,savage garden style,,0
1127,explorer role is the wl role,,1
1128,how to check rarity,,1
1129,im good to go  thanks to crazy pple  ,,0
1130,hello everyone won wl from solrarity and alrdy got my talisman,,1
1131,guys how to check my talisman rarity,,1
1132,mint is later,,1
1133,wppwpp,,0
1134,yooo,,0
1135,truly madly deeply in love with this nft collection,,1
1136,yes im sir ,,0
1137,are we exited for fabulosaaaa,,1
1138,heyyyyyy,,0
1139,hey,,0
1140,welcome everyone,,0
1141,hi,,0
1142,gm,,0
1143,w,,0
1144,communication,,0
1145,gm,,0
1146,what do you think is important in a relationship,,0
1147,gm,,0
1148,lets gooo fam gm bohos,,1
1149,on fff check the token address on ,,1
1150, on fff,,1
1151,are the keys listed on some market  want to buy more if ppl seell them,,1
1152,for sure ,,0
1153,i guess they don t know the value,,0
1154,gm peeps  ,,0
1155,wtf these pple are crazy to sell this for under  dollars haha,,1
1156,u wlc  ,,1
1157,thanks  ,,0
1158,whats the token wl address pls mate ,,1
1159,lfg   ,,1
1160,here fam,,0
1161,here we just go to the moon lol,,1
1162,what time can we mint what are the hours,,1
1163,gm,,0
1164,   ,,0
1165,please guys where is the token address for fabulosa collection ,,1
1166,hi,,0
1167,i am glad to know you,,0
1168,this is the address right,,0
1169,yep,,0
1170,yes,,0
1171,gm gm,,0
1172,can i mint fabulosa in presale if i bought tokens in fff,,1
1173,ayo,,0
1174,nft is predicted to have a promising future in the future,,1
1175,yes check ,,0
1176,token distribution still on going,,1
1177,wagmii,,1
1178,haha,,0
1179,now i will smoke  some dmt,,0
1180,and damn,,0
1181,hi,,0
1182,i was reading the manuscript,,0
1183,hello,,0
1184,kindly check  and ,,0
1185, hours right,,0
1186,woop woop   ,,1
1187,hi when do mint start,,1
1188,gm fam,,0
1189,open the gates,,0
1190,let s go,,1
1191,mint day babyyyyyyy,,1
1192,tacos for the win,,1
1193,we should raid the polls on motd tweet were losing to baked berserk and internet foxes,,0
1194,hi,,0
1195,same,,0
1196,yes check ,,0
1197,wait for the mint  ,,1
1198, hello bro token ongoing  i waiting  ,,1
1199,lets go,,1
1200,hello,,0
1201,i got this talisman what do i do with it,,0
1202,minting market is weak atm though,,-1
1203,goodeve,,0
1204,gm bohos whos ready for mint,,1
1205, utc is what the announcement said,,0
1206,some are still coming they said they would announce when they are all dropped,,0
1207,at what time,,1
1208,today,,0
1209,hi,,0
1210,guys when is the mint,,1
1211,token is airdropped already,,1
1212,hello im pretty sure i submitted my wallet yesterday but im not sure if it was confirmed because i havent got my token yet how do i check if i failed to submit wallet,,-1
1213,talisman    sol in burner wallet   ready to go,,1
1214,hi,,0
1215,haha great     ,,0
1216,woopwoop,,1
1217,hi,,0
1218,never mind ill just ping our chat your ticket,,0
1219,trying to work  ,,0
1220,gm,,0
1221,yep awesome weather today enjoying it how bout you,,1
1222,how do i do that,,0
1223,great your okay,,0
1224,ayo,,0
1225,sup guys,,0
1226,what server u from,,0
1227,me too,,0
1228,all right can u tmention your ticket here,,0
1229,woop woop,,1
1230,iam from the netherlands,,0
1231,woopwoop,,1
1232,hi,,0
1233,i have no access to those tickets unfortunately ill ping our team regarding that where u from,,-1
1234,woop woop,,1
1235,heej i have created a ticket for my holders role can you help me out  ,,1
1236,hey,,0
1237,hello fam how is it going,,0
1238,gm,,0
1239,thank you,,0
1240,  ,,0
1241,hi,,0
1242,just received my talisman,,0
1243,hi all here from inx and furrsol,,0
1244,k,,0
1245,oops,,0
1246,woop woop   ,,1
1247,i am short of  sol,,-1
1248,thank you,,0
1249,no worries fam,,0
1250,thbxz,,0
1251,thbxz bro,,0
1252, utc,,0
1253,do we know how many talisman tokens are available total just curious for my mental lol,,1
1254,guys wat time is the mint,,1
1255,its  just some few sol for fees as usual,,0
1256,where was the rarity paper for fabulosa can t find it again,,-1
1257,woopwoop,,1
1258,yo,,0
1259,thats for talisman ,,0
1260,yeah just mint with the wallet,,1
1261,including the transaction fees ofc,,1
1262,better buy at fff bro its so cheap like its just penny,,1
1263,i think ,,0
1264,i thought ,,0
1265,yes,,0
1266,i  m trying very hard t  get wl,,1
1267,so i just use the token to mint is that correct,,1
1268,lol,,0
1269,how much is mint,,1
1270,thank you,,0
1271,yo,,0
1272,if u really wanna be a paperhand be with some great skills how can u be happy at  sol like did u guys invested ur time just for earning a wage,,1
1273,yay received my beautiful token  ,,1
1274,hi,,0
1275,it s should be  sol fp,,0
1276,lol,,0
1277,ok  ,,0
1278,just the kiddos listing at  sol omg,,1
1279,it will come,,0
1280,i dont received bro  ,,0
1281,thanks,,0
1282,you can mint,,1
1283,yesss,,0
1284, ,,0
1285,yes it is,,0
1286,fp ,,0
1287, thats why i bought another one,,0
1288,someone confirm is this legit,,0
1289,yeah,,0
1290,yo,,0
1291,wl token verified on fff ,,1
1292,it will be expensive soon,,0
1293,it s really cheap now ,,1
1294,ohhh wow,,0
1295,wen my airdrop token    ,,1
1296,is this legit,,0
1297,lol,,0
1298,i just got airdrop,,1
1299,i bought another one,,0
1300,i m sure there will be a whale to shock the paperhanders,,0
1301,maybe  or so,,0
1302,woop woop,,1
1303,if you submitted your wallet it will come   patience ,,1
1304,just receive my token  thz team,,1
1305,how many listing of token right now at fff,,1
1306,still waiting for the token airdrop wenn,,1
1307,lol,,0
1308,mine not yet,,0
1309,yo,,0
1310,eat sleep nft repeat,,1
1311,hello can you please check out my ticket  ,,0
1312,yo,,0
1313,nice,,0
1314,thz ,,0
1315,happy minting fam   ,,1
1316,you need talisman in your wallet  those are still being airdropped if you submitted your wallet and  sol for minting,,1
1317,no i mint,,0
1318,woop woop,,1
1319,are you going to sell right,,1
1320, no,,0
1321,thz recieved token ,,0
1322,is wl overallocated,,1
1323,your good,,0
1324,it s should be  sol,,0
1325,but why will you want to sell this kind of token,,0
1326,thanks mate so ill just wait for the link to drop and mint thats it ,,0
1327,the wl token will moon couple of hours to mint,,1
1328,yes it does  ,,0
1329,okay thanks so i got talisman role does that mean im wl ,,1
1330,woop woop to that ,,1
1331,it will soldout in  mins maximum,,1
1332,goodluck with mint    just added fabulosa to our mint sheet,,1
1333, is only  really homeless ,,0
1334, sol of white listed,,1
1335,how much for fabulosa mint ,,1
1336,lets go,,1
1337,hey hey  ,,0
1338,so extited for todays mint,,1
1339,hi hi,,0
1340,i already sold this bro lazy to change the pfp,,1
1341,yeah its great move not to get dump,,1
1342,nice aomfam,,0
1343,wanna chat,,0
1344,this wont be the case with us since we are minting on our own candy machine  me listing will be possible only after the mint,,0
1345,gm,,0
1346, ,,0
1347,yeah but its possible all new mints are listed even before soldout but here you can only list after soldout,,0
1348,hi guys excited for the mint,,1
1349,hi,,0
1350,morning famm,,0
1351,paper hand selling  sol ,,1
1352,that is obvious,,0
1353,i literally have  sol only thats why i am asking,,0
1354,ok,,0
1355,it will be something like that not pretty much,,0
1356,sameall transactions fee are the same,,1
1357,mint fee bro in magiceden  for every mint,,1
1358,lets go guys,,0
1359,you mean mint price  ,,1
1360,fee,,0
1361, utc,,0
1362,more chance for  fp,,1
1363,lfg cant wait for mint,,1
1364,yooooo,,0
1365,still dont have a token,,-1
1366,how much is the mint fee,,1
1367,how much time till mint ,,1
1368,yo,,0
1369,and is bear market  sol is very very good,,0
1370,agreed,,0
1371,who sell  lol,,1
1372,bro even for fomo this is not possible gen  at  sol so gen   is expected,,-1
1373,as long as you hold the talisman you have guaranteed mint  ,,1
1374,keep mint counter as well on website to know how many minted,,1
1375,gm,,0
1376,sometimes bro btw how r u doing,,0
1377,is it a guaranteed mint or fcfs,,1
1378,gm,,0
1379,sure bro nearly mint time token price moon,,1
1380,delist ur token,,1
1381,thx for the info sir,,0
1382,okeey iam understand sir,,0
1383,we will mint with our candy machine mint link will be posted in ,,1
1384,yes on our website,,0
1385,delist ur token,,1
1386,dont sell wl token paper hand so bad,,-1
1387,last night man i just woke up and saw i won the about  hours ago there was anyone from there and said to me to open a ticket and say that too like he did,,0
1388,will the mint be in its own place sir not in me,,1
1389,these paperhands get knowledge from that only lol    ,,0
1390,uk but it works,,0
1391,im waitin,,0
1392,sure,,0
1393,okay serr,,0
1394,TRUE,,0
1395,yes,,0
1396,airdrop still going,,1
1397,we are good without it   ,,0
1398,hi,,0
1399,   we need some fud lol    ,,0
1400,morning,,0
1401,u r not got because check ,,0
1402,hi all,,0
1403,mint bro least  fp  sol,,1
1404,when was that  because wallet submission closed yesterday,,1
1405,they are happy with wages lol,,0
1406,these paperhands are bullshit people,,-1
1407,guys,,0
1408,if u see token at  go buy it now without hesitation,,1
1409,looks like you got the wl role if you submitted the form from  in time your good,,1
1410,i think wp token least  or  sol coming,,1
1411, not sure,,0
1412,lfg to the moon again,,1
1413,sure bro public mint is not sure,,0
1414,i won from okay bears joined the discord a while now still havent gotten my role,,-1
1415,yes our second collection connected to bohemia throw woop token,,1
1416,i dont give fake calls been an caller for almost  communities,,0
1417,fp to  sol after mint for sureee,,1
1418,now also i m warning everyone  delist ur token or if u wana list list it above  sol u will regret later,,0
1419,yell,,0
1420,yes,,0
1421,understand this is the project  sir ,,1
1422,fp  over,,0
1423,guys dont sell least  ,,0
1424,paper hands are assholesss,,-1
1425,i won it in gothic degen red skull society guy there just told me to write a ticket,,1
1426,that will go a minimum too  sol before mint,,0
1427,i got my talisman  ,,0
1428,and how much for publik mint ser ,,1
1429,around  sol,,0
1430,if you asking mint price,,1
1431,hi  fam,,0
1432,how much price for wl sir,,1
1433,can anyone tell me the current fp i m not at my pc,,-1
1434,where and when did you win,,0
1435,got mine excited thanks team,,1
1436,check fff history,,0
1437,it will start booming soon ,,1
1438,hello,,0
1439,hi,,0
1440,current fp of the token,,1
1441,yeah so you should get that wallet right,,1
1442,thanks fam,,0
1443,the question is that i got a talisman only does that mean that iam white listed for a fabulosa,,1
1444,its very clear in     ,,0
1445,try to read ,,0
1446,hey  ,,0
1447,hi,,0
1448,me too ,,0
1449,hi guys mint date mint price,,1
1450,yet,,0
1451,you can buy token from fff,,1
1452,good looking,,0
1453,heya,,0
1454,mint is  utc ,,1
1455,how to clam wl for talisan from giveaway ,,1
1456,yoo mates,,0
1457,havent receive token yet ,,-1
1458,because i dont have the talisman role yet  ,,-1
1459, ,,0
1460, hi,,0
1461,  ,,0
1462,nope,,0
1463,i won wl there,,1
1464,yay just recieved mine too,,1
1465,regards from gothic degens,,0
1466,now i cant find mint button in official website,,-1
1467,great if you got one do you have to verify,,1
1468,gm,,0
1469,heej,,0
1470,gm,,0
1471,sir wen you are going to verify wl token on fff,,1
1472,buzzing for this mint art is so cool and roadmap oooffff,,1
1473,its still being distributed as you can read in   ,,1
1474,i think i forgot submit my wallet,,-1
1475, hello bro i dont have token income,,-1
1476,indeed we do hope you are doing great as well ,,0
1477,hope you are having a great day everyone,,0
1478,im not yet receive  ,,-1
1479,there are still a few hours before the public sale time,,1
1480,submit wallet close,,1
1481,its   am utc,,0
1482,you can type in google   utc my time,,0
1483, everything was explained well fam much more info was provided in   ,,0
1484,presale at  pm utc and public on  utc,,1
1485,is it on sale at  oclock tonight,,1
1486, please verify wl token on fff,,1
1487,gm,,0
1488,yessir,,0
1489,you will receive it soon enough   ,,0
1490,fp price,,0
1491,yeah ,,0
1492,everyting looks beautiful the key is   speackless  the nft also,,1
1493,luckkkyyyy im still waiting,,1
1494,sup bro,,0
1495,just received mine   all locked and loaded ready to cast the spell   ,,1
1496,maybe ill pick one more up,,0
1497,for a  mint,,1
1498,pretty cheap tbh,,1
1499,no that s the wl token mate,,1
1500,its already mint,,1
1501,you can buy at  and above,,1
1502,token address,,1
1503,yes ser,,0
1504,aiight ill hope so,,0
1505,its in the pinned message,,0
1506,no you can buy token for mint,,0
1507,you will get it bro just wait its still ongoing,,0
1508,have you started mint yet,,1
1509,token adress,,1
1510,dayuumn wheres my talisman ,,0
1511,tokens guaranteed mint,,1
1512,a few hours mint,,1
1513,oh dayumn still dont have my talisman,,-1
1514,yo,,0
1515,woopwoop,,1
1516,lets fuckin mint  ,,1
1517,wonderful thanks for this,,1
1518,correct,,0
1519,woopwoop,,1
1520,correct,,0
1521,my wallet still waiting ,,1
1522,so thisll be used to mint later and since its my token my mint time is ,,1
1523,woopwoop,,1
1524,why peeps selling token with cheap price  xd,,1
1525,i combine studying and chatting here ahahah,,0
1526,nice thanks,,0
1527,yes,,0
1528,is that the token,,0
1529,but i was airdropped a talisman,,0
1530,sorry im kinda out of the loop,,0
1531,you are,,0
1532,whats up,,0
1533,yes just use the official token address in ,,1
1534, am  i wl,,1
1535,on fff ,,1
1536,hello i have a question,,0
1537,can i also buy some more tokens ,,1
1538,y,,0
1539,damn im about to get out from work now hahaha opposite timezones,,0
1540,  ,,0
1541,hello,,0
1542,stay groovy brohos,,1
1543,im about to go to work   be back to groove with you around mint time,,0
1544,morning beautiful  ,,0
1545,super about to get some nap later to be energetic for the mint,,1
1546,morning,,0
1547,gm gorgeous,,0
1548,youre always welcome   ,,0
1549,gm,,0
1550,woop wooooooooop    ,,1
1551,o yea,,0
1552,thanks,,0
1553,yes they are fam,,0
1554,lfgroove sis hehe    ,,1
1555,hey handsomehappy mint day,,1
1556,guys are love letters all the same,,0
1557,yo,,0
1558,gm gorgeous,,0
1559,are you buzzing for today,,1
1560,you know the groove broho  ,,0
1561,gm,,0
1562,groovy as always i see,,0
1563,check  thank you,,0
1564,good morning people,,0
1565,and stay groovy too  ,,0
1566,don t forget to stay healthy wlhle grndn here my frends,,1
1567,lfgrooooooove,,1
1568,gm bohos todays the day  ,,1
1569, pls check ticket   thank you  ,,0
1570,yo,,0
1571,ok cheers yeah just checking so its not a big number of free mints out there that will hit the market,,0
1572,talisman is wl or fabulosa not reveal ,,1
1573,i dont have the numbers unfortunately,,-1
1574,ok any estimate on how many  ,,0
1575,no nothing of that idea was brought up right now,,0
1576,are there plans to create a secondary token apart from woop i didn t see it in the roadmap just asking,,-1
1577,yoo,,0
1578,there were giveaways and such that were given free mints,,1
1579,wl is closed ,,0
1580,hey fam,,0
1581,yoo,,0
1582,those are transportaris and not wl token,,1
1583,yea not stressed about it,,0
1584,got my token   quick question will bohemia or anyone get free airdropsmints,,1
1585,yep me too dont worry,,0
1586,gm,,0
1587,still no wl token but will wait,,-1
1588, ,,0
1589,token addresses transportari  transportari i   transportarii ii   transportari iii   transportari iv   which are the differences here,,0
1590,make sure to check ,,0
1591,woopwoop,,1
1592,just vibing here till tomorrow hahaha,,0
1593,omg,,1
1594,hello,,0
1595,hi guys,,0
1596,only if you have talisman,,0
1597,goodluck guys,,1
1598,i forget fill the form damn haha,,-1
1599,there was a not snapshot of master gurus staked last week,,0
1600,yeahhh,,0
1601,gm,,0
1602, ,,0
1603,will bohemian holders be able to mint or not everyone,,1
1604,hello,,0
1605,cant wait,,1
1606,maybe ,,0
1607,good vibes only,,0
1608,hi,,0
1609,hey,,0
1610,still didn t receive my ,,-1
1611,maybe check ticket ,,0
1612,whoop,,0
1613,woopwoop,,1
1614,no worries fam,,0
1615,yo lfg,,0
1616,mint time need   min cant wait mint ,,1
1617,thz sir,,0
1618,as long as youve filled up the form youre good,,0
1619,i have fill form yesterday so i got,,0
1620,looking into it for the mean time use the token address in  to know the official one,,0
1621,wen candy machine,,0
1622,woopwoop,,1
1623,random tho,,0
1624,there will be few slots airdrops for some og bohos as long as they were staked,,1
1625,on mercury,,1
1626,please verify the wl token on fff,,1
1627,never made it a guru or whatever,,0
1628,my boho been staked since day  so i guess wont get to play this time,,-1
1629,oooh bunch of places to know and find nfts,,1
1630,depends on you talisman master ii were ordered to submit wallet,,1
1631,did we submit our wallet,,1
1632,mine was from me marketplace,,1
1633,so mint today guys,,1
1634,twitter mostly,,0
1635,if you degen so well on me  you d know abt this proj,,0
1636,hi,,0
1637,gm,,0
1638,i really love this project and you people how do you discover this,,1
1639,tf   we haven t started,,-1
1640,not me  ,,0
1641,how you minted oo,,1
1642,fabulosa,,0
1643,yeah,,0
1644,cubist affect,,0
