,Chat_msg,sentiment
852,you are would do the same,0
853,hello,0
854,no blizzz they will undercut,1
855,og,1
856,youre wled go and submit,1
857,or give it to those who deserve it more,1
858,sha go and submit your wallet,1
859,haha  let s have some for those without wl,1
860,congratulations bro,1
861,thank you zetsu,0
862,thanks matewould appreciate that,0
863,my man i want to be able to do this too,0
864,meeeee pleaseeee,1
865,no,0
866,lol enjoy making fun of me  so far it makes you happy then i m happy,0
867,new wled persons,1
868,i have faith  what do i do to get it,1
869,go and submit your wallet,1
870,should we leave some for public or,0
871,oh please i m not toxic,0
872,bless him,1
873,guys please dont forget to submit your wallet in  everyone has to submit even if youve submitted it before,1
874,gib red colour this colour dont fit an invader like me,0
875,go and submit your wallet,1
876,og role please,1
877,he doesnt want a toxic relationship,0
878,i am but guess what,0
879,go and submit your wallet,1
880,it s quite almost certain you going to fade me all through and it s not fair,-1
881,i m still here,0
882,on what buddy,0
883,a,0
884,thanks mate,0
885,who s ready for the big day,0
886,e shock you nah why everyone wants og,1
887,my turn pls,1
888,you need faith to have og,1
889,congratulations,1
890,abi,0
891,am i,0
892,congrats,1
893,hey guys,0
894,why do you keep ignoring me,0
895,very big  why you dey ask me about faith,0
896,i will be glad to be a red frog,1
897,yeah the pfp is lit and i would love to mint it,1
898,orbr,0
899,everything for  hard,0
900,you gave someone again i love you but it seems you are partial,0
901,go and update tiue wallet submission bruh,1
902,nawa make them type proper terms jare,0
903,you need to rest up though,0
904,you want one i can give you the second,0
905,yeah just need you to give me an upgrade,0
906,how big is your faith,0
907,a,0
908,ok boss elenu gungun,0
909,thanks man finally got it,1
910,our spaceship ai said i cannot enter the spaceship without the red colour passcode please help,0
911,please notice me,1
912,when me blzzzzzzzz,0
913,maybe but i noticed your pfp,0
914,a,0
915,it s a  term for give,0
916,hi,0
917,give whitelist and i give my dogs extra meat for dinner,1
918,what do i turn into,0
919,congrats boss,1
920,thats why you ate a frog during rumble sin of gluttony   deadly sins,-1
921,i think am the new invisible man,0
922,what do you want,0
923,pls notice me,1
924,a,0
925,i got you brooooo texting you her location later,0
926,omo,0
927,i can t give you mine,0
928,a,0
929,i am helping you bro,0
930,a,0
931,hello,0
932,i could turn into an elephant if you want,0
933,werey lol,0
934,a,0
935,which one be gib,0
936,maaaan what to do,0
937,i need an upgrade,1
938,will be expecting her in my bed tonight,0
939,hello,0
940,great,0
941,i have two,0
942,everyone wallet or token,1
943,a,0
944,hi fam,0
945,like you have one,0
946,check my,0
947,sol for mint and you go mint  per wallet and again you go mint  minutes before wl although nobody will be able to list till mint out,1
948,i answered you naa,0
949,just put a smile on my face tonight,1
950,bro not that way na username he say make he drop lol,0
951,gib wl and take my woman,1
952,pls notice ur girl,0
953,a,0
954,walai,0
955,turned into a frog,0
956,continue laughing bro keep it up i see you,0
957,wallet or token,1
958,i sent request,1
959,okay,0
960,en black zetsu  hello sorry for bothering i won a wl on twitter today please how do i get my role updated or submit my address,1
961,i m glad,0
962,ok go find someone who s willing to drop,0
963,the hustle is real,1
964,come and read story,0
965,baba hack fit happen your discord can be hacked with links  pictures files i just dey tell am make e place safe,0
966,gib wl and take my girl,1
967,wl please,1
968,baba go drop history   wetin wl go cause,1
969,my people,0
970,ki leley,0
971,i m in,0
972,bruuuh dfkm,0
973,waka shege,0
974,hello,0
975,lol,0
976,nawa o,0
977,we don t care still,0
978,lol wtf,0
979,nawa,0
980,yeah why you ask,0
981,lmao arghh,0
982,little story on the warlock  according to them the warlocks received their jobs from their fathers and arent allowed to quit unless they find and capture puppycat who was formerly a space outlaw presumably for the space king and princess  they first appeared in donut where their giant black hands destroyed donut planet and nearly killed bee and deckard they instead capture moully a baker from the planet it is revealed in now im really alone that moully survived this encounter and used one of their rings to teleport across space to escape they then appeared throughout season  destroying other planets in an effort to find puppycat and quit their jobs,0
983,get someone to drop sol and you both agree on how to share the profits,1
984,do you have faith,0
985,believe,0
986,hi,0
987,abi my boss,0
988,it means og,1
989,i no want make you care though as long as my bags care,0
990,okay,0
991,a,0
992,dm,0
993,hi,0
994,how do i do that,0
995,wassup,0
996,hello bro,0
997,get collabs,1
998,make e print abeeeg come fes og role means what exactly i never understand am if u like laugh again o,1
999,yeah i did,0
1000,yo,0
1001,yes,0
1002,lmao person say make e enter dm you dey say make e go proof channel easy o,0
1003,when wl,1
1004,i don t have enough liquidity,-1
1005,not anymore  have you submitted your wallet,1
1006,i just aped into one of the  and it s lit,1
1007,on god,0
1008,so you want og,1
1009,with the way people hustling wl  don t be here with complains about not submitting wallet  go   warlocks address and do it,1
1010,lol wettin nah,0
1011,we don t care,0
1012,hey,0
1013,yeah,0
1014,ok now am back,0
1015,why,0
1016,emi ika carry una trabaye    i just dey laugh make this thing sha print na  og i carry lol,0
1017,e be like say i no go mint this project,0
1018,when,0
1019,you are already wl,1
1020,a,0
1021,hello sorry for bothering i won a spot on twitter and my roles have not been updated,0
1022,hey,0
1023,hello,0
1024,the guy na werey,0
1025,do you need og,1
1026,please how do i get the og,1
1027,hi,0
1028,and roughyuno gives sasuke vibe,0
1029,gbenu oshi soun,0
1030,true but i love asta he s too real,0
1031,u suppose collect  by  for jaw,0
1032,hahaha you where right about purple been a nice color,0
1033,lol naruto not as noisy as that,0
1034,thanks dear,0
1035,when wl,1
1036,i think he should send it to proof channel,0
1037,tf,0
1038,soon buddy,0
1039,when will i turn red,0
1040,ill be sure to murder anyone that lists below  fp,-1
1041,when will i turn red,0
1042,send me the proof in dm,1
1043,everyone see my pfp you can tag me now for wl and og       are on vacation,1
1044,anyone rooting for my wl too,1
1045,i ve not seen either you ve seen seven deadly sins,0
1046,give me your username,0
1047,you think narotu is noisy,0
1048,hey mate,0
1049,wen wl,1
1050,same as naruto,0
1051,madd,0
1052,lmaoo ffs,0
1053,waiting for jujutsu kaizen and mob psycho,0
1054,yeah but he too noisy,0
1055,wow,0
1056,when wl,1
1057,this werey na nigerian sef i don die,0
1058,astaa sannnn,0
1059,it was sniper aio and it s done  days ago i also have proof,1
1060,gm,0
1061,happy to be back,1
1062,when will i get the wl of this project,1
1063,get him wl,1
1064,sureone of my fav,0
1065,hiiiiiiii,0
1066,i doooo,0
1067,can i get wl too,1
1068,make e print oo,1
1069,young warlock to wl wen,1
1070,no have you seen black clover,0
1071,can i get a wl,1
1072,what project was this collab and when was it done,1
1073,angry dino people,0
1074,you dont mean it,0
1075,hopefully this prints tomorrow we gotta eat,0
1076,when wl sir,1
1077,yup have you seen orient,0
1078,congratulations,1
1079,yo,0
1080,when wl,1
1081,boss you didn t tell me you re here,0
1082,a,0
1083,yo,0
1084,i mean it  not minting an arcanian nft death,1
1085,easy man,0
1086,lol,0
1087,boss,0
1088,a,0
1089,he held his own for sure but he s not that guy,0
1090,bless me,1
1091,hello fren how are you,0
1092,udonminit,0
1093,a,0
1094,ok mam,0
1095,greetings,0
1096,yeah not from here from the beginning lol,0
1097,whitelist me or youll find my dead body tomorrow,0
1098,my red blood is hot,0
1099,lets fly,1
1100,black zetsu stabbed madara in the chest and made him absorb a lot of chakra and converted madara into kaguya otsutsuki then he became kaguyas vessel until the last second when kaguya was sealed away madaras body was shot out from the ten tails kaguya,0
1101,i want wl,1
1102,i watched the most part i love asta he gives me naruto vibes,0
1103,when wl when wl please don t fade me  and,1
1104,heyy wassup,0
1105,youll get it gee relax,1
1106,hi,0
1107,yessur,0
1108,lol seems you need to go check your youtube the only wallet safe is your ledger goodlcuk learning,1
1109,who can i talk with or where can i send proof,0
1110,halfway,0
1111,the invasion as got the whole of web  talking   love it,1
1112,no hard feelings gee,0
1113,hello   you seem quite tho,0
1114,i am,0
1115,i d submit my wallet right now please i love the art   and i want one,1
1116,a,0
1117,sorry im not in charge of the collab,1
1118,hello hello guys,0
1119,screaming,0
1120,i belong mate,0
1121,yessur,0
1122,ok sir,0
1123,keep grinding soon come,1
1124,anyone painting my user to red,1
1125,i speak to  you in different languages    wl        wl   wl        geef me wl         wl       duok man wl   donu al mi wl,1
1126,ok bro,0
1127,stolen from obitomy fav is naruto  kurama,0
1128,yeah did you watch black clover by any chance,0
1129,i don t still have a wl,1
1130,nothing bruv,0
1131,you getting this bruv,1
1132,niiice,0
1133,what s wrong mate,0
1134,i dont have og,1
1135,wallet cant get compromise without hack attempt but lets leave it like that good luck lol,1
1136,can i get a wl please,1
1137,is active,0
1138,how are,0
1139,getting a space warlock whitelist  is no  on my bucket list,1
1140,hey bro how are u i won wl  days ago and still not have role i also have proof,1
1141,a,0
1142,please whitelist for me i will submit my wallet now,1
1143,thanks mate i appreciate,0
1144,wen me pls,1
1145,simple as,0
1146,i have no such power sir,0
1147,a,0
1148,yes and i was asking if you won t be kind enough to change my color to red,0
1149,yours soon,0
1150,who is a black clover fan here,0
1151,youre already wled,1
1152,gg mate,1
1153,any mods here,0
1154,okay bro,0
1155,thanks boss  one love,0
1156,let s do this,0
1157,talk em through it people may not have the patience to read through everything on the announcement channel but theyd definitely listen to u when u break it down for em,0
1158,hwy,0
1159,heyy,0
1160,already responded,0
1161,im really hoping shoot me up if you can,0
1162,can you please give me the role,1
1163,great one literally just took a power nap and came back pumped    lfg    stop fading me though,1
1164,already did,0
1165,lol,0
1166,congrats,1
1167,why can t i submit my wallet,1
1168,youre already wled,1
1169,cold i lover killer bee and gyuki,0
1170,ok sir ma,0
1171,doesnt work like that,0
1172,tha ks bro,0
1173,reason your guy wl please,1
1174,a,0
1175,yours coming,0
1176,hello,0
1177,bro seems u dont know your wallet can get compromised only shii safe is your hardware wallet you need some lectures yourself goodluck,0
1178,hi,0
1179,lol long story,0
1180,bruh  how  help em submit their wallet,1
1181,how far man,0
1182,hi,0
1183,hopefully,0
1184,a,0
1185,great are you pumped ahead of tommorows mint,1
1186,my man hows it going,0
1187,congratulations,1
1188,madara,0
1189,yo,0
1190,do you have kids,0
1191,how are you all doing today,0
1192,somebody make me red  before you find me dead,0
1193,dont mind them,0
1194,you fading me supreme one,1
1195,hi,0
1196,og,1
1197,congratulations,1
1198,thanks mate,0
1199,whem wl,1
1200,go and submit your wallet though,1
1201,heyyy guys,0
1202,good good buddy,0
1203,ok sir  i understand that sir,0
1204,a,0
1205,when meee,0
1206,let s go,1
1207,congratulations bro,1
1208,hi,0
1209,not anyone bruh someone might seem og but at the same time careless,1
1210,you got already,0
1211,ok sir i would really love to be part of the wled people can you be kind enough to turn my color into wine   that s red,1
1212,how s the family,0
1213,gg mate  you see,1
1214,u are whitelisted already,0
1215,kaguya,0
1216,i got it woooo,1
1217,hbu,0
1218,you too man,0
1219,address will be collated and sent over to the launchpad,1
1220,can i get wl,1
1221,yo i connected my wallet successfully,1
1222,all good bro  chilling here,0
1223,why are you doing this,0
1224,wen me,0
1225,seems to be ignoring me though,0
1226,ser wassup,0
1227,man made the money from his first nft project reptilian,1
1228,goodluck,0
1229,a,0
1230,what s good,0
1231,wled people simply have to go to  and follow the mercury instructions,1
1232,it is shocking,0
1233,great,0
1234,fam you got laughed at doesnt mean u should laugh at others doesnt make any sense,0
1235,i just asked my question still no response sir,0
1236,u can be better simple help people instead of laughing at em,0
1237,big man,0
1238,im still waiting for your blessing,1
1239,i know so,0
1240,yoooo,0
1241,wats good,0
1242,alright tess,0
1243,i got laughed at i got myself educated simple,0
1244,i hope so,0
1245,can i get wl boss,1
1246,can i get wl please  been here for a while please,1
1247,hry friends,0
1248,lemao,0
1249,asinnn  they just come and ask questions that are well explained in those channels,0
1250,yup still open,0
1251,he will soon,0
1252,why are you blsck zetsu when you can be killer b sama,1
1253,u can u will,0
1254,it s so painful how you ve been giving all others og without even looking my way  been here all day  it s not just fair to be honest,-1
1255,yeah bro,0
1256,can i get wl,1
1257,i hope so,0
1258,who is your fav jinjiruki,0
1259,youve prolly not been here long enough,0
1260,anyone can get their wallet drained you can too an og was drained  cos she logged into fake me cmon man anyone can get hacked,-1
1261,hi boss,0
1262,it sucks how people cant just read through announcement channel,-1
1263,for real bro,0
1264,notice me pleawe,0
1265,orhhh,0
1266,maybe,0
1267,yeah but still choses not to respond to me,0
1268,lets keep it rolling guys,0
1269,wednesday  utc,0
1270,who  created the zetsu,0
1271,whats good  hope you are staying blessed boss,0
1272,hi,0
1273,jeez,0
1274,yessur,0
1275,ok i know this is a sol project and it s minting tomorrow so how are you guys planning to control the traffic of wallet address since some people are being given wl role today,1
1276,im worried i feel like it may not be just as intriguing,0
1277,wagmi,1
1278,can i get og,1
1279,its all love though,0
1280,hii,0
1281,yeah but a newbie without knowledge sucks simple youtube video would have done justice i have a guy who got his wallet of  sols cleared by logging his wallet into fake magic eden site lol,1
1282,he sees us all,0
1283,yessur,0
1284,yes for sure,0
1285,yoo bro  it s really cold,0
1286,swears bro,0
1287,thanks,0
1288,hmm,0
1289,who saw game of thrones are u pumped up for the upcoming house of dragons,0
1290,hello,0
1291,doesn t even see me,0
1292,nigeria,0
1293,u a fan of naruto,0
1294,theres a browser in it,0
1295,i hope with you man,0
1296,sorry fam lotsa tags whats your question,0
1297,lol i just hope i get it tho,0
1298,you don t consider me at all,0
1299,lol no heart here,0
1300,anything for the paint id do,1
1301,dont bother asking  i was ignored the same tmeay this afterny,0
1302,wheres that,0
1303,copy the first link in  open it in your phantom wallet browser and do the rest of the things there,1
1304,yeah for real,0
1305,they was wrong to laugh at u and u doing the same thing follow they footsteps,0
1306,ok bro it s raining out here,0
1307,nothing much,0
1308,am fine and you,0
1309,ohh,0
1310,phantom,0
1311,been trying to ask some questions but you have been ignoring me sir,0
1312,go to mercury add your wallet and obtain wl,1
1313,soon just keep grinding b,0
1314,what s good bro,0
1315,lolll  i dont even know what i did to the fouder  he seem to dislike me,0
1316,yeah i was and i got laughed at,0
1317,i love spacewarlock art,1
1318,wl me,1
1319,what wallet u using,1
1320,no,0
1321,lol,0
1322,hoe u dey,0
1323,are you spanish,0
1324,i know you can see this,0
1325,a,0
1326,my fren dwarves the red too bliz,1
1327,hi,0
1328,lol liess,0
1329,wen wl,1
1330,wheres my wallet browser please,1
1331,hello thor,0
1332,smh sure,0
1333,lolll   its has been there for about  months,0
1334,lol well here we are again,0
1335,what are you new to nft,1
1336,go check,0
1337,thank u,0
1338,check,0
1339,i like your colour,0
1340,copy the mecury link there and paste in your wallet browser,1
1341,lol don t mind me,0
1342,what time is mint guys,1
1343,i never thought we will cross paths so soon,0
1344,i am at your feet do not forsake me,0
1345,sol why cant you read through announcement channel though alot of information that might help you be bullish,0
1346,i don t know mate,0
1347,ouch alright    whats the fastest way to your heart man,0
1348,av,0
1349,yo bro,0
1350,so bullish about this project,1
1351,lol,0
1352,lol why are you laughing,0
1353,anything to get a paint tonight,1
1354,what time is mint,1
1355,dont laugh dawg nothing wrong with being a noob,0
1356,congratulations,1
1357,how are you bro,0
1358,hello,0
1359,lmao none,0
1360,same here who s your favorite character,0
1361,ouu did you see the phase  announcements,0
1362,hi,0
1363,a,0
1364,hi,0
1365,hope so,0
1366,hello freens,0
1367,stop laughing at people theres nothing wrong with being a newbie u was a newbie before to chill out,0
1368,how are you bro,0
1369,keep the hype going till mint hour,1
1370,bro,0
1371,i just clicked   didnt know what else to do,0
1372,please check  for my video,0
1373,thanks my fren  i hope you get red paint in time,0
1374,for real bro wakanda forever,0
1375,yeah,0
1376,jajaja,0
1377,what time is mint,1
1378,whats good man,0
1379,pretty chill,0
1380,give me a tip,1
1381,newbie,0
1382,what s the fastest way to your heart   what do you like doing,0
1383,jajajaa,0
1384,wat is mint price are u done being rude,1
1385,hello dear,0
1386,heyy,0
1387,wakanda forever,1
1388,heyya,0
1389,maybe he sent you to grant his og some purple paint already,1
1390,are you a marvel fan,0
1391,no  do i have it,0
1392,thanks dear,0
1393,hii,0
1394,ill definitely check it out,0
1395,hello boss  how are you doing,0
1396,i know this purple color would look very attractive on me,0
1397,hello bro longest time,0
1398,a,0
1399,watsup,0
1400,have you submitted your wallet,1
1401,yoo,0
1402,youre sleep texting,0
1403,lets fucking goo,1
1404,lol gonna have to ask him yourself,0
1405,so many reds,0
1406,hello,0
1407,yo,0
1408,wl,1
1409,hi,0
1410,lol,0
1411,its okay boss,0
1412,why do everyone needs og though,1
1413,whats good,0
1414,youll be fine,0
1415,hello dear,0
1416,i dont have it,0
1417,a,0
1418,hey guys,0
1419,stop playing man,-1
1420,hello,0
1421,the worst,-1
1422,a,0
1423,yeah the triller was emotional especially seeing the tribute the made about chad am sure the movie is gon be lit,1
1424,wl,1
1425,a,0
1426,wagmi invasion,1
1427,what does red mean,0
1428,a,0
1429,and it gets thrown away by a kid,0
1430,whats the fastest way to  heart  man here needs to be purple,1
1431,wagwan,1
1432,yh right,0
1433,the hustle is real everyone deserves to make it out here we all gonna make it,1
1434,yo,0
1435,dont forsake me   make me red please,1
1436,wtf,0
1437,im fine you,0
1438,let s keep the good vibes goin with the boss,1
1439,i have some questions sir if you would be kind enough to answer me sir,0
1440,like a meal you bought with your last cent being spilled my fren,0
1441,nahh fam would like to see it though,0
1442,yo sure,0
1443,wl for sale,1
1444,lfg,1
1445,one time for a wl pick,1
1446,hiii,0
1447,i guess  is asleep,0
1448,you got red so not bad,0
1449,blzzzzzzzzz make me redddddddd,0
1450,gg in addy bro,1
1451,a,0
1452,how are you,0
1453,ouch sorry how hard was it,0
1454,oops,0
1455,hello mate how are you,0
1456,howdy,0
1457,hey,0
1458,have you watched the new black panther triller,0
1459,heyya fam,0
1460,really like a heavy rain,0
1461,yeah got it a hard way   been while,0
1462,wl me,1
1463,just keep grinding red is wl,1
1464,a,0
1465,wagwan mod,1
1466,damn this hurt,0
1467,a,0
1468,check out my memes,0
1469,on god,0
1470,boss im here,0
1471,so  ended up fading his own og women really do get the shorter end of the yard on this space afterall,1
1472,gg,1
1473,a,0
1474,how can i get wl,1
1475,i hope,0
1476,a,0
1477,we move,0
1478,hopefully buddy,0
1479,goodluck on the mint,1
1480,same here bro  it s raining over here,0
1481,a,0
1482,don t worry mate we gon be alright,0
1483,a,0
1484,purple purple here i come,0
1485,a,0
1486,a,0
1487,yo,0
1488,am good bro just heee chilling,0
1489,we love you,0
1490,yktv,0
1491,you got red so gg,1
1492,who said that,0
1493,og,1
1494,gg i hope you get too,1
1495,for real bro,0
1496,am good and you,0
1497,we move,0
1498,just more warlocks to hodl my fren,1
1499,how are you bro,0
1500,happy for yah,1
1501,you too man,0
1502,thanks,0
1503,been invested in this project,1
1504,congratulations fam,1
1505,hopefully,0
1506,a,0
1507,i need them so i can pick off floor,1
1508,you too,0
1509,gl everyone,0
1510,bullish,0
1511,yoo bro,0
1512,don t give up mate we still have a lot of chance to mint i believe  is watching,1
1513,yesssss,0
1514,i used to have wl btw,1
1515,yo i finally got it,1
1516,gn,0
1517,wish me too,0
1518,nope,0
1519,yeah mate am bullish here,0
1520,so i won t be minting tomorrow,1
1521,any non of you paperhands getting away tmrrw  we d fine you and cut you,-1
1522,hope you get wl soon,1
1523,seriously,0
1524,hii,0
1525,gm,0
1526,yup he said it earlier,0
1527,hun,0
1528,hello mate how are you,0
1529,same here buddy,0
1530,just made my birthday god bless you ser,1
1531,dont sleep,0
1532,please grant me the opportunity,1
1533,so wl closed now,1
1534,we need that og,1
1535,really,0
1536,soulsin relation to ghost rider,0
1537,i can t wait to do that,1
1538,i wish to be red in color  i am a warrior i only know color red from the blood of my enemies,1
1539,it s crazy mate,0
1540,goodnight,0
1541,hey,0
1542,dont forget to claim your wl,1
1543,og closed,1
1544,i do,0
1545,rude but okay,-1
1546,a,0
1547,you alone can og me,1
1548,that s right,0
1549,yeah that is how undercutters are made smh,0
1550,please bless me  bsging,1
1551,please grant me this opportunity to be part of this space,1
1552,and  per wallet  so  each per,1
1553,thanks fam,0
1554,thank you mate,0
1555,gib wl,1
1556,lol wtf,0
1557,purple is my favorite colour just thought to tell you  since you asked,0
1558,nope that wasnt part of the deal,0
1559,lol,0
1560,y all go submit your wallets  before it s too late,1
1561,goodluck,0
1562,congratulations man,1
1563,it is  sol for og,1
1564,yall came here to beg for whitelist without knowing shit,0
1565,mint price is  for wl and public,1
1566,a,0
1567,fact about space warlocks  the space warlocks are a group of  giant space wizards formerly  who use their giant black hands to destroy planets in order to find puppycat they serve as the main antagonists of bee and puppycat lazy in space   please give me wl,1
1568,i have obtained it bro,1
1569,nice pfp,0
1570,a,0
1571,proof,0
1572,yeah mate you probably need some sleep,0
1573,patience young one,0
1574,male,0
1575,im losing my powers,0
1576,thank you,0
1577,go and submit your wallet,1
1578,i want to be part of the invasion tomorrow,1
1579,av,0
1580,whats supreme being gender if u get it u get og,1
1581,supposed to be his name  warlock,0
1582,lets see whos little,0
1583,pls bless me boss,1
1584,it s crazy,0
1585,i know you re supreme above and you will look down upon your faithful servant and give me this opportunity to invade this space,0
1586,this guys deserves this wl,1
1587,any ongoing challenge for wl please,1
1588,in a land of myth and the time of magic the destiny of a great kingdom rests on the shoulder of a young warlock his name merlin,1
1589,your spell is broken lol,0
1590,plss,0
1591,lol so you came here without knowing the mint price or anything about the project do you even know we are minting tomorrow,1
1592,on mercurylabs,1
1593,a,0
1594,give me og please,1
1595,we wont,0
1596,how do i submit wallet,1
1597,dont let him go,0
1598,bro whats good,0
1599,wait,0
1600,yes yes little one,0
1601,please guys,0
1602,wagmi bro,1
1603,yes gee,0
1604,nerr not it mate,0
1605,hi,0
1606,yeah am positive,0
1607,dont lets us cry after the mint  dont lets us cry after the mint,1
1608,get ur wl first bro,1
1609,oh okay,0
1610,say please,0
1611,ofcourse mate,0
1612,thought its the other way round,0
1613,bless this one,1
1614,this project,0
1615,the warlocks are taking over   theinvasion should trend on all social media platforms,-1
1616,good now you wait,0
1617,same,0
1618,tomorrow we invade,0
1619,a,0
1620,like this,0
1621,dont lets us cry after the mint  dont lets us cry after the mint,1
1622,we can do this bro,0
1623,one family man,0
1624,id do anything for that og list,1
1625,lets go,1
1626,hey fairy god father  make your fairy god son purple  so i can blend with the flowers,1
1627,alright,0
1628,but me i still need wl,1
1629,oh wise one  immortal being wen bless with warlock list,1
1630,just an extra spot im asking,0
1631,follow him,0
1632,we invade guys were one family,0
1633,how many per wallet for public,1
1634,it s not,0
1635,red would look good on the psycho  sir,0
1636,in sha allah brother,0
1637,hi,0
1638,blesssss me,1
1639,free mint in sha allah,1
1640,he really just said that mate,0
1641,you can still mint public though over  for public,1
1642,tomorrow we invade everywhere,0
1643,i know you know how it s feels to be red         it s gonna look nice on my name,0
1644,hi,0
1645,am still patient sir  please sir give me this opportunity to mint this project,1
1646,i have sent my prove of the twitter raid can i get an og please its in,1
1647,i hope so,0
1648,red is good purple is everything,1
1649,just ask and it shall be given unto you little one,0
1650,been waiting,0
1651,blessssssss me with the sacred red colour,1
1652,go to,0
1653,im still here,0
1654,thanks your next bro,0
1655,og me,1
1656,on mecury,0
1657,blesssss me,1
1658,a,0
1659,cause he said i ve been simping for you and it s all gon waste cause you won t grant me this wish  is it really going to be your fault that he leaves me,0
1660,abeg nau,0
1661,claim role how,0
1662,sireee warlock list your servant,1
1663,i m still patient,0
1664,og,1
1665,left,0
1666,see and bless,0
1667,gm,0
1668,over here young warlock,0
1669,i need some red sir am ready to go to space because of this project   let s do this,1
1670,have faith anointing is in the house,0
1671,youve been whitelisted,0
1672,a,0
1673,blesssss me,1
1674,wooooh,1
1675,ejhor nau mr supreme being,0
1676,plssss,0
1677,a,0
1678,lol,0
1679,this project highs me than colorado,1
1680,you re a god,1
1681,blesssss me,1
1682,quickly,0
1683,now my bf said he d leave me if i don t get the og spot    you see you ve got me on a cross road,0
1684,your names wack,0
1685,a,0
1686,how to submit wallet address,1
1687,fam you finally got it,0
1688,hope yall have liquidity dont fade tomorrow oo,0
1689,blesssss me,1
1690,gib wl please,1
1691,blzzzz,0
1692,i am exquisite,0
1693,please gib me wl,1
1694,i never know,0
1695,still patient,0
1696,sure man,0
1697,time is running out,0
1698,am good just chilling,0
1699,please some wl,1
1700,pepsi has finished  ill give you cocacola,0
1701,blesssss me,1
1702,okay bro thanks,0
1703,help me tell me,0
1704,ouch not yet,0
1705,yo,0
1706,go and claim ur role,1
1707,go on little one and sin no more,1
1708,nothing much bruv how are you,0
1709,am getting this bro,1
1710,sure bruv,0
1711,lol nice write up,0
1712,yo  ive dropped the video of me turning into a frog in,0
1713,congratulations go and claim ur role,1
1714,checkout my memes,0
1715,thanks fam,0
1716,haaa all this grammar cos youre purple,0
1717,you can see all bless all,0
1718,thanks,0
1719,i want to say thank you,0
1720,a,0
1721,wen red      im sad,1
1722,congratulations  hoping for  to bless me,1
1723,hey lol,0
1724,ty ty   abeg wetin be mp,0
1725,gg bruv,1
1726,recieve red now,1
1727,congratulations now to and claim ur role,1
1728,go and submit your wallet,1
1729,i followed blacksmith lab what next please,1
1730,wen me,0
1731,hello,0
1732,thank you,0
1733,if my memes make you guys laugh i ll drop more for sure,0
1734,a,0
1735,finally redddddddd,1
1736,please make me smile,1
1737,the reason for my existence is much too complex for your feeble human mind to comprehend oh little one,0
1738,gg mate,1
1739,thank you,0
1740,lol you funny man,0
1741,congratulations,1
1742,gm frens,0
1743,you guys check out the new memes i dropped,0
1744,all good man,0
1745,hey guys,0
1746,what s good,0
1747,please nau,0
1748,congratulations fam,1
1749,hey guys,0
1750,gud evening mod i won giveaway,1
