,Chat_msg
282,lfg
283,cant gain by staking
284,yo
285,i dont know when exactly the sending of the bag was due
286,will there be some kind of air drops to those who minted first like first 
287,fff
288,is there a legit way to sell the wl token
289,hype
292,gm
293,lfg
294,boho devs cracked for sure  
295,thank you guys
296,the token address of the talisman is 
297,correct it is pinned in the messages btw
298,its pinned
299,yes
300,did  you submitted your wallet in time 
301,anyone can confirm 
302,ye defo a bad time for minting boho devs are pretty good tho
303,howdy
305,insya allah maxxbohemia moon
306,token addy
307,unfortunately not there sir
310,me to fam 
311,what s the token
313,be active friendly and helpful with twitterpromoting
314,me to fam 
315,hahah kidding iam very ready for mint
316,is it token based 
317,good morning fam
318,gn
319,thats for top raiders
320,how u get role x
321,im betting  sol down on this mint on cubist collective gl
322,good morning all
323,check at nft collection not where your sol is
324,i have one quick job then back for mint see you all soon
325,yo
326,sure probably i will delist wl token and see what happens during mint
327,token is not showing in my wallet can you help me
328,it will be posted in   boho
329,youre the only one who can figure that out
330,better to buy a token and youre stress free
331,im sure you doing great work just trying to figure out if its going to work for me rn
332, utc will be published in 
333,fam whats the link for the mint what time is it just saw chat will be closed in  mins
334,over
335,i hope i still have
336,thanks
337,is the token sending still in progress
338,im not feeling forced brother im just sharing my impressions dont feel compromised to give me an answer
339,the token address of the talisman is 
340,full wl yes
341,wheres the token address
342,solscan
343,hmmm i get you
344,slope fucking sucks
345,lul
346,where it was sent from
347,where do i check
350,sometimes you gotta risk it for the biscuit
351,okeey full wl or not ser 
352,you don t need to work hard for money nothing in nature works hard instead it s just about adding value and contributing good to society being joyful being open to receive feeling gratitude and feeling rich do these things and the money flows in
353,what
354,as i told you before do your own considerations we are a well established project which builded and keeps to build as we speak we  need to force you to do anything you dont feel like  
355,kk
356,hi
357,i know just sharing what i think
358,yes
360,hey guys question  if someone buys a talisman token off fff can they mint fabulousa
361,noice 
362,people selling on fff
363,how many hours is mint wl sir
364,no one knows
365,gotta do what you think is best
366,brother if you have doubts nobody is forcing you to mint
367,do you like biscuits though
368,i want more 
369,tweet about fabulosa to build more hype
370,if i get stucked here i have no liquidity for degen sweepers dont you think its risky to mint in this condition
371, per talisman
372,yes sir
373,you should
374,only  
375,no sir
376,hahah
377,hey
378,i dont what the fuck to do
379,the tokens are sending or finish
380,maybe i have to delist my talisman from fff
381,guys with one talisman can i mint  
382,fam
383,yes
384,i see thanks fam
385,are wl  guaranteed mint
386,both of em
387,how many are wl
388,bofem
389,bohemia holders or non holders
390,based on the requests yes
391,lets build the hype
392,i started rading already for fabulosa    
393,i heard foxy is better
394,i ve asked a lot of people if they were minting and they all said  so
395,fam where shall i do  trade now foxy or yawww is any of them down today
396,the vibes
397,lfg
398,no one knows i know but
399,gm
400,do you expect a quick sold out
401,they said so
402,yep
403,guys do you believe in magic 
404,httpswwwfabulosaio
405,not listing untill selling out
406,if everybody with a talisman mints one then there would be non left for public
407,what is fabulosa
409,hard to tell the mint will take place on bohemia own mint site they will post the link at  utc
410,how many will be left for public to mint and where will mint take place
411,lfg
412,lfg
413,lfg
414,lfg
415,perfect 
416,hahahah thats true im shouting my mouth then
417,and it is just to prevent fudding  and scam links  
418,oh okay
420, hours actually
421,hahahahahaha you just dont shit where you eat
422,wingardium leviosa
423,mint  sol token  total 
424,why closing chat  hrs before mint  
425, where is my wl
426,sorry mate just trying to put all cards over the table do you want to flip too huh not to hold hahaha  
427,hello fam
428,why closing chat  hrs before mint
430,yes
431,hmm
432,how many can wl mint
433,do you believe in magic  
434,gm
438,what s fp
439,good morning guys
441,gm
442,gotchu
443,same as the fabulosa supply  
444,check pinned messages
445,how many tokens are there sir
446,hey
447,you will be able to rent it out for woop
448,though no smart thing to do before the minteven if you just want quick flip save the honesty please 
449,whats the ticker
450,stakers of new collection will receive woop token
451,guaranteed
452,or oversupply token
453,is token guaranteed mint
454,on fff
455,on fff
456,can we grab another talisman from secondary where are they trading
457,how many whitelist tokens are there
458,between  and   each raffle for non bohemia holders so i think if you are not one of them rent a fabulosa is just the only good trade im sorry im justr trying to be honest but respectful no fud
459,guys
460,mint is in sol for everyone
461,sol
462,idk that bro
463,hey
465, holder also pay sol or some staked token
467,woopwoop
468, hrsss  
469,for wl  and public 
470,cant wait
471,hahah
472,yoyoyoyo
473,what the upcoming nft mint price
474,i will go to the course today
475,tba
476,if i rent my fabulosa i will be paid with woop how much
477,letsgoo mint   
478,seems like theres something more to come
480,for woop
481,aight   
482,you will also be able to rent your fabulosa out
483,you can check more info on 
484,it is well explaine in the manuscript  fam  
485,cool
486,more util
487,sup
488,lfg
489,just got talisman
490,gamified raffle system
491,so this is scam
492,whats utility of holding fabulosa   can you say in  lines
493,wen wl
494, manuscript 
495,this is why i dont want to hold despite the incredible art lore and surely great prizes
496,damn why token so cheap
497,where can i find the utility of fabulosa
498,and with no prize guaranteed
499,hi
500,and i calculated the amount of woop in  and are between   each time
501,but woop is relatively cheap atm
502,correct
504,but i will need to buy woop for every spell i want to cast isnt it
505,it is well explained in the manuscript 
506,actually you dont need to hold a bohemian to benefit from fabulosa
507,thanks boss
508,yes
509,up to you fam  
510,  is it this one sir  
511,oki
513,looks airdrop check token adress in solscan
514,check the address pinned in the messages
515,so i dont know if i have to mint or not
516,did i got airdrop or is it scam
517,honestly i think its a good project for bohemia holders but im not holding bohemia so i probably wont hold fabulosa but if it reaches a good fp it would be a good flip
518,beware scamer
521,solana nftnothing is secured herebut at least this project is very good stablished
523,oh i see thanks you for your time
524,so happy
525,got my wl
526,people thar are sure and confident to mint or skeptical like me
527,token address is on the pinned messages
529,what s token
530,me too mate
531,where can i buy this in fff guys
532,every dao i m in aren t  
533,hii have a good day
534,every dao im in
535,barely anyone talking about it tbh
536,where my man where people are talking
537,sure
538,i think we got a chance
539,fabulosa is literally the only mint everyones talking about today
540,can we buy talisman on fff
541,was thinking the same
542,i dont see activity here not too much reactions in announcements or twitter posts idk im a bit skeptical
543,unreal
544,so yall dumping ur bohe
545,minimumi hope it reach like  minutes after
546,what s token fp
547,very
548,buddy how is  possible
549,bohemia are at 
550,sellout possible
551, minimum
552,fp
553,search on 
554,anyone can send the token address
555,yeah hi is running crazy
556,chill homie
557,does rank will have effect
558,suck my ass
559,are you crazy mf i was helping you just anwered your questions
560,gm all
561,sheeesh
562,what is the addres token
563,i appreciate your advices thank you
564,go fuck yourself freak
565,what 
566,what a clown
567,fff
569,where to but wl
570,how many wls available
571,do you think fam that fucking dumb paperhands are going to sell fabulosas under mint price
572,what
574,guys how many nfts are for whitelist
575,okay iam ready
576, utc
577,today
578,wen mint
579,yeah or ill just need todo some solid flips to buy me one not that found of lending my nfts
580,hi guys
582,so its good
583,paperhands boost volume anyways
584,like the fp is  and over an all the bear market thats insane
585,but itll push past that
586,ofc ppl will want profits
587,im gonna be 
588,it might happen but bohos have a talent to thin out the flippers and stick with the diamond hands
589,valid af
590,u can lend your fabolusa to bohemia owner
591,i just noticed that i need to buy woop to cast a spell as i dont own a bohemian
592,it s possible get wl already
593,but how about paperhands that minted  bruh and those who want profit that had airdrops  
594,hi guys gm
595,hi fam
596,very possible
597,i think more
598,hi guys new here was wondering how many people are white listed 
599,token base
600,will let it below
601,no one that mints for 
602,its obvs gonna hit  sol
603,where 
604,so stupid
605,fabulosa mint key
606,come on everybody
607,excelent price for this wanting to secure a fabulousa mint
608,hello
609,whats selling for 
612,how much are they selling for
614,this is too confusing
615,do i have to finger myself while i trade herbs
616,keep reading
617,what does that even mean
618,what
619,i tunnel vision that
620,wonder why ppl sell so low  
621,have to spend woop on herbs to cast spells
623,not quite that simple
624,wagmii
625,thx
626,guys is listing gonna be after sold out or what 
627,gm
628,think so correct address is pinned
629,hettt
630,id that the corect adress
632,gm
633,ofc
634,art is nice too
635,art is hot af haha
636,also
637,for having fabulosa
638,they just give u shit
639,so basically
640,v
641,also recommend reading the manuscript in  
642,gamefied raffle but more coming later
645,whats fabulosa utility
646,ye true
647,lul
648,i am new here i would like to know the usefulness of fabulosa nft is it a real nft project or is it a product that completes the bohemia collection  thx guys im actually excited
650,is this wl hard to get
651,yo yo
652,i got a meeting earlier and now just chilling here ahahah where are you from
653,where can i see the utility of fabulosa sir
654,thank you sir ill be lurking on eden until then  
655,hahaha
656,one mint per talisman
657,theres  talismans for  fabulosas
658,we ball
659,fuck it
660,imo
661,its profit either way for all wl
662,hmm
663,yes
664,or no
665,public  more than 
666,i can get 
667,unminted wl will go public
668,then im not worried wtf
669,oh
670, per talisman
671, for all
672,one
673,how many can whitelists mint each
674,but how many per talisman
675,not sure therell be much left for public
676,is there a guaranteed public mint
677,ik i could just read about it
679,if you have wl you should be pretty safe
681,the paperhanders will soon be out
682,gm
684,whats wl token address
685,gurus got wl token talisman
686,so do i have to worry about bots
687,yep but no one got fabulosas dropped yet
688,our own candy machine will be announced on  only
689,is it launching on
690, what platform
692,gm hope you guys excited for the minting
693,the whole supply of fabulosa is  right including airdropping it to guru masters
694,welcome back bro 
695,then ill make the tough call
696,just waiting for my wl
697, til mint right
698,yeah i suppose so
699,can bebut if you back an established project then the gambling aspect is less i feel
700,token fp rightnow
701,iam back i miss the bohemia
702,lfg
703,this
704,lfg
706,is just gambling
707,solana nfts
708,and grats on your goth degen dont think anyone saw those poppin off quite the way they did
709,i swear
710,is it legit
711,hey does anyone know about the connect  collablland  site for swapping nfts for sol and vice versa
712,yeap those be the tough calls you gotta make fire yourself in this space  all fun tho 
713,gm
714,lul
715,for liq
716,i gotta sell my gothic degen
717,yeah but that means
718,yeah but check out fp on gen   mint price is fair i reckon for an established collection like  bohos
719,morning guys
720,woop woop
721,gm
722,we are going to spread information about this community everywhere
723,no wl yet  
724,no info on that yet
725,even for whitelist
726,there will be renting for fabulousas staking goes for bohemians
727,so expensive
728,this mint
729,how are you buddy
730,not right now
731,so no staking for fabulosa 
732,hey these specifics are not set yet
733,hey
734,will i be the one to set the amount of woop to rent it out for
735,hey
736,hey guys
737,goodluck to us all  
738,i will try and grab one on secondary as well
739,i think i will get more before the whale pack it all
740,perfect
741,one mint per token
742,not yet u can check 
744,is it one mint per wallet
745,sir token still ongoinr or finish 
746,i see lol sorry thanks
747,thats whitelist role u can also chekc where u get it solsteads
748,thanks im all set and ready   
749,lfggg
750,banned
751,the talisman master
752,np
753,ty
754,check ur roles
755,nope u can rent it for wooop
757,u can ban him now
758,ill check within the team we had a imporsontator recently
759,so i was msging this scammer
760, yo i was bored
761,hey guys i got a talisman token airdrop is it legit how i do i know if i won the raffle from which server
762, hour wl mint window too short between  and  for me so had to sell talisman on fff
763,do i get to earn woop by holding or staking fabulosa
764,token still ongoing 
765,hello
766,hope that works
767,i use slope wallet
768,i sent to samc
769,were u able to send wallet
770,gm
771,bro this shit is mad confusing
773,you owe a wl you forgot me bro
774,hi
775,theres also an announcement where u can check the wallet
776,hello explorers
777,np
778,when did u get it
779,banned thanks
780,ight
781,but im not even sure if my wallet is on list as i did submission from dao giveaway  
783,no  
784,check 
785,thanks appriciate it 
786,it has the same value as the public mint
788,or nah
789,im whitelisted here
790,so it shows
791,do i verify or smth
793,okay yeah
794,yes
795,hi is the talisman still being
796,hmmmm
798,if your team send out the winners you will get it u can check  find the announcement before
799,if i got talisman
800,how do i see
801,is this right just to be sure
804, dont dm me
805,it has the same value as the public mint
807,whats the name of the token on fff
808,now what do i do
809,i got whitelist
811,u can get one on fff  
812,whitlist send me
817,love an active chat
819,possible winnings from the reward treasury
820,wahala
821,i really didn t understand that part after reading
822,  whitlist plzz send me
824,now what
825,for fabulosa
826,i got wl
827,yepvery cheap indeed
828,hi guys can we buy talismans token on fff 
829,what does the casting of spell have to offer any benefits
830,hey
831,token only for only wl users 
832,yes fammm
833,gm fam
834,ws
835,haha you know it
836,our own candy machine link in  only
837,its a candy machine mint  og style
838,i am mint extited long time hold plzz help
839,hmm
840,fosho
841,closer to mint
842,will be announced
843,launchpad
845,woopwoop
847,woopwoop
849,woopwoop
850,hello
851,ok thanks guys for the response
852,get well soon fam
853,wl wl wl plzz
854,zinc with vit c tablets cold and flu medicine and sudafed nasal spray helped me a tonne
855,you can send it to a burner
856,you can send no problem
857,always use burner if you mint
858,aa
859,you can
860,just woke up chilling here for a while
861,     hey can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped
862,     
863,gm fam just tested positive for covid will be away for a bit
864,lfg
866,i have token so  or 
867,same mate    lfg
868,cant wait to mint   
869,you can find the time here    but  hours right
870,just over  hrs
871, you are professional broi love your art
872,when will you send token wl bohemia
873, h before wlm
874,can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped
875,how many hours do we have until mint  sorry am driving
876,art is one of our main priorities  is a mastermind 
877,hask
878,sup
879,is there anyone who can answer me
880,thanks
881,hey um i have a question
882,thanks fam it is really pretty and sexy  wl token i have ever seen
883,sure is
884,it ll be  like a gen 
886,yes
887,search on this 
888, put address
889,hi guys sorry but im not understanding if pm and wlm are both this afternoon why is the full collection already on me
890,search for the token id
891,hi the new bohemia collection wl is with token
892,i searched talisman  on fff but i couldnt find that
894,am driving
895,sold out on 
896,fams how many hours do we have until mint
899,yeahhhh
900, yeah
901,so if youre gonna mint in public would be better if you just buy talisman
902,will fabulosa have staking for woop 
903,gm mintdayyyy
904,its at  now
905,gm
906,yes theres always those selling for quick profit and not thinking of the long term 
907, check in announcement
908,ppl are selling their wl token
909,og thx
910,lfg
911,ok sir thanks
912,rank will be avaliable on moonrank as soon as they have listed us shouldnt take that long after the mint is done
913,it is pinned
914,i mean rank not just seeing nft
915,please please dont paperhand this really good project
916,what is the adress
917,youll be able to see it instantly after you have minted it
918,hey guys
920,make sure to use the official token address
921, get it from fff
922,where to buy
923,good and reveal is right after sold out or not
924,how to get a talisman
925,gm
926,yo
927,dear admin i am blockchain developer specializing in solidity and react recently i worked as a smart contracts developer to build the smart contractsdrops auction staking marketplace  for the nft marketplace on the cronos network now i am actively looking for a new opportunity and if you are looking for a dev id like to join your team  
928,stay safe fam and happy minting  
929,we will never dm you first  
930,yeah straight up block
931,never legit
933,assume this isnt legit
935,gm
936,the talisman yes
937,is that wl token
938,heyyy
939,hey
940,check under collectibles in your phantom
941,we already have your wallet
943,can i submit my wallet now
944,mint details anyone
945,if it has this adress   then yes
946,yo
947,the art here is amazing
949,is the token on fff legit
950,yo
951,wassup
952,yes
953,crazy
954,woopwoop
955,been holding for  months
956,isnt it wl token mint
957,gm y all
958,hi guys
959,can i submit my wallet now
960,mod
961,yooo
962,hi
963,gm
964,my boho ive been mia never staked got two bottles didnt use had stuff going on irl
966,big day
968,can i submit my wallet now
969,hi
971,been here since 
973,yes you did fam
974,just checkin if ive verified properly
975, should be
976,its a sol mint
977,oh alright try to open a ticket and send us your wallet adress 
978,h
979,what time in mint for uk people
980,also wasnt a mint based with whoop 
981, will you guys have alpha call for holders of new collection
982,gmm
983,dont remember the number and cant check right now as its on my computer and not on the phone wallet
985,gm
986,ty
987,aight
988,hello good morning
989,in theory yes
990,so it can be sold out in wl
991,i see
992,keep on going
994,how many wl drop
996,how do i verify if imh a holder beenm holding for a long time now just been mia
997,whats the  of the boho
998,gm 
999,so cheap the token on fff weird
1000,gm
1001,i havent received the talisman yet i have my guru bohemia staked since day 
1002,whats up fam
1003,receive mine
1004,excited
1005,yo guys i need some help
1006,hu
1007,what about love letters
1008,gm
1009, powerful things
1010,woop woop
1011,i dnt belive in magic but i belive in fabulous and ayahuasca       
1012,there are many members who trying hard
1014,i saw that  it says the one won wl yesterday their tokens are been given now m 
1015,nope please see 
1016, all token for talisman master given out 
1017,soooo stoked
1018,ei guys r u excited for fabulosa  
1019,only rent if you want to stake for woop then we recommend buying a bohemian
1020,i didnt got my talisman
1021,thanks
1022,so that s noon est right
1024,can we stake our fabulosa nft in order to yield woop a considerated woop amount is necessary to cast spells with fabulosa participates in raffles
1025,token address 
1026,hello
1027,is it one per tel
1028,how many can we mint
1029,yoo
1031,wagmi
1033,wassup everyone
1035,from bohemia
1036, will fabulosa dao will be different
1037,you don t seem to have a role for it so i m not sure if you do
1038,you should have the talisman in your wallet
1039,hi how can i know if i got wl for fabulousa
1040,imagine selling your talisman for  and missing out  
1041,hey
1042,for bohemia holders only
1043,when public
1044, fabulosa minters will have access to bohemia dao 
1045, or so
1046,whats the floor on fff
1047,yo
1048,yo
1049,gm world
1050,buy them from fff
1051,hey
1052,hi
1053,can you provide me whitelist
1054,yoo
1055,tes
1056,im not an og holder will i still get access to dc with the fabulosa collection
1057,i don t like honey
1058, utc
1059,you will get it  still sending out tokens
1060,whats good people
1061,own website 
1062,when is the mint
1063,same bru
1064,still haven t received the talisman i won from elikasol
1065,thx
1066,hai
1067,not over booked  
1068,overbooked wl or we can mint in our time  
1069,my bad appreciate it fam 
1070,how much tokens was send
1071,all information is in 
1072,when is mint
1074,are all tokens out or still getting sent out
1075,we have  
1076,gm
1077,can team make an announcement about token addy for awareness
1078, all tokens sent
1079,ty
1081,well i did receive mine just an hour ago
1082,addy
1083,have all tokens sent out
1084, fff token addy
1085,yes
1086,lol
1087,gn
1088,link pls
1089,i am just counting hours so that i don t miss it by sleeping
1090,is token listed on fff
1091,token on fff
1092,our own website
1093,hmm
1094,saint in the house
1095,haha im fr
1096,lol real funny
1097,token
1098,our candy machine
1099,token or wallet based
1101,suwiiiiiiiiiii
1102,sup
1103,yo
1104,wheres minting gonna take plc
1105,can i get wl
1106,hi
1107,thanks fam
1108,good and you
1110,nope just sol
1111,just sol
1112,do we need woop to mint
1113, total
1114,hi mates how are you doing
1115,how many talisman wl are there
1116,suppp
1117,gm
1118,sup
1121,check pinned message
1122,just check the pinned messages people
1123,following
1124,hello guys whats the token address please
1125,people don t understand nfts metaverse and crypto today the same way they didn t understand online shopping in the    if you are here  glad to be a part of this community we are early birds of next big project
1126,i like art sir 
1127,hello
1128,no worries fam
1129,okay ty
1130,nice one mate the token is such an art work   
1131,okay
1132,not yet   announcement will be made once to sending out ii done
1133,okay ty
1134,yoo
1135,link will be posted upon minting it will be on our own website
1136,not totaly i think
1137,how much you paid
1139,where to mint
1140,alright thanks
1141,nope
1142,tokn airdrop not finished yet right
1143,yes link will be posted in 
1144,can we stake our fabulous for woop
1145,i am buy  token  
1146,did i miss it 
1147,how to submit wallet guyss
1148,hi
1149,hey fam
1150,hey
1151,great bro
1152,lets goooo
1153,got my token lfg
1154,woopwoop
1155,httpsmagicedeniomarketplacedecipheredletters
1156,letters are on me
1157,hell
1158,where can i buy love letters
1159,got  minting all of em 
1160,looking forward
1161,i minted the first bohos and if the fabulosa site is anything like it prepare for some awesomeness
1162,absolutely how many u minting sir
1163,sure
1164,own site
1165,where is the mint gonna take place
1166,godamn that art is so dope
1167,yo
1168,damn but that art is    
1170,hoping in the not too distant future but all eyes currently on fabulosa 
1171,can i ask a question
1172,thanks   
1173,hello
1174,our own  
1175,yup talisman is the wl token
1176,guys what platform is the mint
1177,hey guyss
1178,yep and  sol
1179,with talisman you can mint fabulosa broo 
1180,ok sir
1181,it will be far still no info on them yet
1182,ty
1183,the token address of the talisman is 
1184,oh okay ty for the help peeps   
1185,i believe the team is working on it however make sure to use the correct token address when buying
1186,can someone send me token link
1187,female mint in the near future
1188,but i suspect it will take whoop and love letters mostly
1189,details on female mint have been kept pretty well under wraps for now
1190,will the token be verified on fff or not
1191,i dont think so i think with fabulosa you can mint a female also not  sure tho
1194,oh ok but for the female one i need a to buy a boho too right
1195,gamified raffle every week you can receive instant rewards deppends on your luck
1196,someone bought  tokens at a time   watching him i bought one more    lfg   
1197,i think its okay to buy token because public is  sol
1198,gamefied raffle for now more tba
1199,what s the utilities of what we minting today
1200,their current utility is linked to fabulosa better odds but its been hinted that they will also be important at a future date to mint the female bohemians
1201,hi
1202,same reaction
1203,rn  sol i think is a spare change for is worth
1204,woop woop id better get some shut eye for this  mint
1205,oh damn i just read it im buying love letters
1206,how much is the token
1207,i love how everyone is a dimondhand here
1208,where is the mint going to take place
1209,working
1210,you can read the manuscript to be clearer in 
1211,lets goo i got mine too
1212,gm
1213,got my talisman lfg
1214,i thought love letters are used on bohemians
1215,yo
1216,thanks
1217,what is the token in fff
1219,will the token be verified on fff or not
1220,i see nice 
1221,aha well thats great then
1222,thanks
1223,i think reveal after own mint
1224,so guys is it reveal after full mint or reveal right after your own mint
1225,love letters can be used to improve the rewards from fabulosa
1226,what is this bro
1227,hi guys
1228,woopwoop
1229,woopwoop
1230, from guru bohos  from fff
1231,the taken itself is already worth an nft   
1232,httpsfamousfoxescomtokenmarket  search for the token address of the talisman is 
1233,wow how did you get 
1234,hello talisman has no rarity or
1235,me
1236,where is the faboulousa mint
1237,q
1238,is there a link on fff token market to buysell talisman
1239,today  or so from now
1243,wen is mint
1245,super ready
1247,those will be true diamonds soon enough 
1248,the art on these is so fiiiine i almost wanna hang on to one post mint just because haha
1250,gotta get some diamond  
1251,lfg lets mint and go heavyyy
1252,we need peeps hitting this no way we lose this vote 
1253,thanks   
1254,im good to go
1255,hahaha   happy minting fam
1256,talisman is a mint token they are all the same
1257,yeah
1258,they told there are tiers for this token
1259,its wl token
1260,savage garden style
1261,explorer role is the wl role
1262,how to check rarity
1263,im good to go  thanks to crazy pple  
1264,hello everyone won wl from solrarity and alrdy got my talisman
1265,guys how to check my talisman rarity
1266,mint is later
1267,wppwpp
1268,yooo
1269,truly madly deeply in love with this nft collection
1270,yes im sir 
1271,are we exited for fabulosaaaa
1272,heyyyyyy
1273,hey
1274,welcome everyone
1275,hi
1276,gm
1278,w
1279,communication
1280,gm
1282,what do you think is important in a relationship
1283,gm
1284,lets gooo fam gm bohos
1285,on fff check the token address on 
1286, on fff
1287,are the keys listed on some market  want to buy more if ppl seell them
1288,for sure 
1289,i guess they don t know the value
1291,gm peeps  
1292,wtf these pple are crazy to sell this for under  dollars haha
1293,u wlc  
1294,thanks  
1296,whats the token wl address pls mate 
1298,lfg   
1299,here fam
1301,here we just go to the moon lol
1302,what time can we mint what are the hours
1303,gm
1305,please guys where is the token address for fabulosa collection 
1306,hi
1307,i am glad to know you
1308,this is the address right
1309,yep
1311,yes
1312,gm gm
1313,can i mint fabulosa in presale if i bought tokens in fff
1314,ayo
1315,nft is predicted to have a promising future in the future
1316,yes check 
1317,token distribution still on going
1318,wagmii
1319,haha
1320,now i will smoke  some dmt
1321,and damn
1322,hi
1323,i was reading the manuscript
1324,hello
1326,kindly check  and 
1329, hours right
1330,woop woop   
1332,hi when do mint start
1335,gm fam
1336,open the gates
1337,let s go
1338,mint day babyyyyyyy
1339,tacos for the win
1341,we should raid the polls on motd tweet were losing to baked berserk and internet foxes
1342,hi
1343,same
1344,yes check 
1345,wait for the mint  
1346, hello bro token ongoing  i waiting  
1347,lets go
1348,hello
1349,i got this talisman what do i do with it
1350,minting market is weak atm though
1351,goodeve
1352,gm bohos whos ready for mint
1353, utc is what the announcement said
1354,some are still coming they said they would announce when they are all dropped
1355,at what time
1356,today
1357,hi
1358,guys when is the mint
1359,token is airdropped already
1360,hello im pretty sure i submitted my wallet yesterday but im not sure if it was confirmed because i havent got my token yet how do i check if i failed to submit wallet
